Joueur,Matchs (éq. 90 min),Actions créatrices de tirs (SCA),SCA / 90 min,SCA – passes dans le jeu,SCA – passes sur phases arrêtées,SCA – dribbles réussis,SCA – tirs,SCA – fautes provoquées,SCA – déviations,Actions créatrices de buts (GCA),GCA / 90 min,GCA – passes vivantes,GCA – passes arrêtées,GCA – dribbles réussis,GCA – tirs,GCA – fautes provoquées,GCA – déviations
Adrien Thomasson,29.1,109,3.75,85,9,0,8,3,4,11,0.38,8,0,0,3,0,0
Facundo Medina,28.3,68,2.41,62,1,1,3,0,1,3,0.11,3,0,0,0,0,0
Andy Diouf,24.7,85,3.44,63,1,11,7,2,1,3,0.12,3,0,0,0,0,0
Jonathan Gradit,23.5,25,1.07,23,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Florian Sotoca,19.9,53,2.66,44,0,4,2,3,0,3,0.15,3,0,0,0,0,0
Deiver Machado,20.1,45,2.24,28,4,3,7,1,2,8,0.4,6,0,1,1,0,0
Neil El Aynaoui,17.6,42,2.38,22,17,0,1,1,1,2,0.11,0,2,0,0,0,0
M'Bala Nzola,16.2,39,2.4,28,0,3,6,1,1,5,0.31,3,0,1,1,0,0
Anass Zaroury,15.6,72,4.61,49,14,2,4,3,0,4,0.26,3,0,0,0,1,0
Przemysław Frankowski,15.4,46,2.99,38,6,0,1,1,0,5,0.32,5,0,0,0,0,0
Malang Sarr,15.4,21,1.36,20,1,0,0,0,0,2,0.13,2,0,0,0,0,0
Brice Samba,15.0,4,0.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mathew Ryan,14.0,4,0.29,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Ruben Aguilar,12.5,26,2.08,24,0,0,2,0,0,5,0.4,4,0,0,1,0,0
Kevin Danso,12.0,12,1.0,12,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Goduine Koyalipou,9.8,26,2.64,12,0,4,9,1,0,1,0.1,1,0,0,0,0,0
Angelo Fulgini,11.6,54,4.65,42,9,0,2,1,0,2,0.17,2,0,0,0,0,0
Abdukodir Khusanov,10.8,11,1.02,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Wesley Saïd,10.1,27,2.69,18,0,5,1,2,1,0,0.0,0,0,0,0,0,0
Juma Bah,7.6,7,0.92,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jhoanner Chávez,6.6,15,2.27,8,5,0,2,0,0,0,0.0,0,0,0,0,0,0
Nampalys Mendy,6.5,11,1.68,8,0,0,1,1,1,2,0.31,1,0,0,0,0,1
Rémy Labeau Lascary,7.1,20,2.83,10,0,7,2,1,0,5,0.71,2,0,3,0,0,0
Hervé Koffi,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David Costa,3.9,8,2.05,5,1,0,1,1,0,1,0.26,0,0,0,0,1,0
Tom Pouilly,3.0,8,2.64,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kyllian Antonio,1.5,1,0.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hamzat Ojediran,4.6,9,1.96,6,0,0,3,0,0,2,0.44,0,0,0,2,0,0
Jeremy Agbonifo,3.3,8,2.4,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Martin Satriano,1.0,2,2.02,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rayan Fofana,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gabin Capuano,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kembo Diliwidi,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
