Joueur,Nationalité,Éq. 90 min,Passes en jeu,Passes sur CPA,Passes coup franc,Passes sur touche,Passes de switch,Centres,Passes en profondeur,Passes de corner,Corners dans la surface,Corners hors cible,Corners stoppés,Passes réussies,Passes hors jeu,Passes bloquées
Adrien Thomasson,fr FRA,29.1,1539,68,36,4,9,58,8,24,8,13,0,1318,5,33
Facundo Medina,ar ARG,28.3,1744,136,70,3,5,16,66,0,0,0,0,1655,9,18
Andy Diouf,fr FRA,24.7,1030,27,15,13,2,30,0,11,8,3,0,849,11,30
Jonathan Gradit,fr FRA,23.5,1290,38,37,2,7,10,1,0,0,0,0,1133,4,11
Florian Sotoca,fr FRA,19.9,943,43,5,8,5,75,29,2,0,0,0,732,10,42
Deiver Machado,co COL,20.1,762,149,8,1,1,51,136,5,3,0,0,763,2,16
Neil El Aynaoui,fr FRA,17.6,881,82,16,4,7,65,3,54,20,30,0,816,3,17
M'Bala Nzola,ao ANG,16.2,296,5,0,0,1,1,1,0,0,0,0,227,1,8
Anass Zaroury,ma MAR,15.6,661,82,17,3,5,125,14,39,27,4,0,506,3,31
Przemysław Frankowski,pl POL,15.4,930,156,11,4,2,78,132,13,4,9,0,875,6,31
Malang Sarr,fr FRA,15.4,909,45,31,1,8,1,5,0,0,0,0,854,1,11
Brice Samba,fr FRA,15.0,399,112,36,0,4,0,0,0,0,0,0,415,1,0
Mathew Ryan,au AUS,14.0,309,99,33,0,0,0,0,0,0,0,0,305,0,0
Ruben Aguilar,fr FRA,12.5,706,132,10,2,4,47,122,0,0,0,0,677,5,29
Kevin Danso,at AUT,12.0,732,35,17,1,1,0,2,0,0,0,0,659,3,6
Goduine Koyalipou,cf CTA,9.8,179,10,0,0,1,2,0,0,0,0,0,132,0,12
Angelo Fulgini,fr FRA,11.6,604,42,11,7,5,44,9,13,4,7,0,509,6,15
Abdukodir Khusanov,uz UZB,10.8,521,26,13,0,3,5,8,0,0,0,0,483,1,3
Wesley Saïd,fr FRA,10.1,227,20,2,2,1,8,2,0,0,0,0,193,1,3
Juma Bah,sl SLE,7.6,358,18,9,0,1,0,0,0,0,0,0,353,2,1
Jhoanner Chávez,ec ECU,6.6,234,73,5,0,0,30,49,19,9,3,0,230,1,3
Nampalys Mendy,sn SEN,6.5,288,2,2,0,3,2,0,0,0,0,0,260,0,4
Rémy Labeau Lascary,gp GLP,7.1,167,5,0,1,1,19,1,0,0,0,0,127,2,3
Hervé Koffi,bf BFA,5.0,111,23,4,0,0,0,0,0,0,0,0,98,1,0
David Costa,pt POR,3.9,146,6,1,0,1,15,0,5,4,1,0,128,3,2
Tom Pouilly,fr FRA,3.0,188,29,4,0,1,11,24,1,0,1,0,171,1,4
Kyllian Antonio,fr FRA,1.5,88,9,2,0,0,2,7,0,0,0,0,81,0,4
Hamzat Ojediran,ng NGA,4.6,248,4,1,3,0,2,3,0,0,0,0,203,2,2
Jeremy Agbonifo,se SWE,3.3,75,5,0,0,0,7,5,0,0,0,0,58,0,4
Martin Satriano,uy URU,1.0,27,3,0,0,0,1,1,0,0,0,0,18,0,2
Rayan Fofana,fr FRA,0.3,8,0,0,0,0,0,0,0,0,0,0,5,0,1
Gabin Capuano,fr FRA,0.1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Kembo Diliwidi,fr FRA,0.0,3,0,0,0,0,1,0,0,0,0,0,2,0,0
