Joueur,Nationalité,Minutes jouées,Min / match,% Minutes jouées,Éq. 90 min,Titulaire,Min / titularisation,Matchs complétés,Entrées en jeu,Min / entrée,Pas remplacé après entrée,Points / match,Buts marqués (ON),Buts encaissés (ON),Différence de buts (ON),Différence / 90 min (ON),Impact On – Off,xG marqués (ON),xG encaissés (ON),Différence xG (ON),Différence xG / 90 min (ON),Impact xG On – Off
Adrien Thomasson,fr FRA,2615.0,79.0,85.5,29.1,31,83.0,18,2,27.0,0,1.48,36.0,32.0,4.0,0.14,0.34,45.2,37.7,7.4,0.26,0.44
Facundo Medina,ar ARG,2543.0,88.0,83.1,28.3,29,88.0,24,0,,0,1.69,39.0,30.0,9.0,0.32,1.36,45.6,33.5,12.1,0.43,1.39
Andy Diouf,fr FRA,2225.0,65.0,72.7,24.7,27,77.0,8,7,22.0,0,1.53,27.0,23.0,4.0,0.16,0.27,36.4,31.9,4.5,0.18,-0.03
Jonathan Gradit,fr FRA,2112.0,84.0,69.0,23.5,24,87.0,19,1,15.0,4,1.52,27.0,29.0,-2.0,-0.09,-0.56,34.1,32.4,1.7,0.07,-0.38
Florian Sotoca,fr FRA,1794.0,58.0,58.6,19.9,22,74.0,7,9,20.0,0,1.45,18.0,21.0,-3.0,-0.15,-0.58,30.4,26.2,4.2,0.21,0.04
Deiver Machado,co COL,1805.0,67.0,59.0,20.1,20,83.0,15,7,20.0,0,1.41,20.0,25.0,-5.0,-0.25,-0.82,28.6,27.8,0.8,0.04,-0.37
Neil El Aynaoui,fr FRA,1588.0,66.0,51.9,17.6,17,84.0,12,7,23.0,1,1.5,26.0,23.0,3.0,0.17,0.17,24.9,25.6,-0.7,-0.04,-0.48
M'Bala Nzola,ao ANG,1460.0,70.0,47.7,16.2,16,83.0,8,5,27.0,1,1.19,17.0,18.0,-1.0,-0.06,-0.29,22.6,21.1,1.5,0.09,-0.19
Anass Zaroury,ma MAR,1405.0,50.0,45.9,15.6,16,74.0,4,12,19.0,4,1.39,26.0,22.0,4.0,0.26,0.31,29.5,22.1,7.4,0.48,0.53
Przemysław Frankowski,pl POL,1387.0,77.0,45.3,15.4,16,85.0,12,2,14.0,2,1.67,22.0,15.0,7.0,0.45,0.67,26.3,16.2,10.1,0.66,0.85
Malang Sarr,fr FRA,1385.0,66.0,45.3,15.4,15,86.0,13,6,17.0,13,1.33,16.0,24.0,-8.0,-0.52,-1.11,23.4,24.4,-1.0,-0.07,-0.47
Brice Samba,fr FRA,1350.0,90.0,44.1,15.0,15,90.0,15,0,,0,1.6,19.0,14.0,5.0,0.33,0.44,24.1,17.1,7.0,0.46,0.49
