Joueur,Nationalité,Matchs (équ. 90 min),Touches totales,Touches surface défensive,Touches (tiers défensif),Touches (tiers médian),Touches (tiers offensif),Touches surface adverse,Touches en jeu ouvert,Dribbles tentés,Dribbles réussis,% dribbles réussis,Dribbles taclé,% dribbles taclé,Portées totales,Distance portée totale,Distance portées progressives,Portées progressives,Portées vers tiers offensif,Portées dans surface adverse,Mauvais contrôles,Ballons perdus,Réceptions totales,Réceptions progressives
Adrien Thomasson,fr FRA,29.1,1995,52,333,1028,650,112,1995,60,26,43.3,32,53.3,1056,4501,2078,30,34,9,67,41,1361,138
Facundo Medina,ar ARG,28.3,2176,121,706,1150,341,31,2176,27,10,37.0,17,63.0,1328,6893,3678,46,48,2,27,14,1514,42
Andy Diouf,fr FRA,24.7,1367,23,158,741,505,51,1367,87,43,49.4,37,42.5,751,5197,2776,82,74,10,75,42,966,94
Jonathan Gradit,fr FRA,23.5,1594,159,629,854,117,22,1594,9,3,33.3,5,55.6,865,3570,1960,18,15,0,11,3,1086,4
Florian Sotoca,fr FRA,19.9,1186,25,105,546,544,89,1186,39,16,41.0,19,48.7,679,2942,1488,44,43,7,20,22,932,170
Deiver Machado,co COL,20.1,1123,50,282,496,358,33,1123,47,23,48.9,21,44.7,605,3284,1658,42,24,7,33,20,661,80
Neil El Aynaoui,fr FRA,17.6,1196,54,272,653,281,25,1193,21,5,23.8,11,52.4,582,2674,1014,11,13,2,25,21,761,29
M'Bala Nzola,ao ANG,16.2,490,4,29,176,290,95,490,38,14,36.8,24,63.2,284,1466,509,26,10,14,62,47,381,118
Anass Zaroury,ma MAR,15.6,893,11,106,387,408,26,893,35,17,48.6,18,51.4,541,2941,1437,49,41,8,27,14,660,107
Przemysław Frankowski,pl POL,15.4,1230,42,240,546,454,38,1228,16,6,37.5,9,56.3,637,3033,1514,33,35,2,16,8,800,95
Malang Sarr,fr FRA,15.4,1105,111,498,554,59,9,1105,4,2,50.0,2,50.0,665,3337,1458,4,6,1,4,4,754,1
Brice Samba,fr FRA,15.0,549,405,540,9,0,0,549,1,1,100.0,0,0.0,323,1637,946,0,0,0,0,0,280,0
Mathew Ryan,au AUS,14.0,439,364,435,4,0,0,439,0,0,,0,,273,1207,642,0,0,0,0,1,200,0
Ruben Aguilar,fr FRA,12.5,996,27,253,430,320,30,996,21,9,42.9,9,42.9,518,2371,1309,32,21,5,19,6,612,101
Kevin Danso,at AUT,12.0,946,108,417,474,62,17,946,6,1,16.7,3,50.0,489,2756,1602,9,17,0,12,6,551,1
Goduine Koyalipou,cf CTA,9.8,318,9,18,147,157,60,318,25,12,48.0,13,52.0,174,821,393,15,8,8,29,16,233,68
Angelo Fulgini,fr FRA,11.6,801,8,87,340,381,50,801,38,11,28.9,24,63.2,494,2511,1283,29,26,8,28,24,613,113
Abdukodir Khusanov,uz UZB,10.8,683,90,335,322,34,4,683,1,1,100.0,0,0.0,339,1452,642,2,4,0,5,1,392,6
Wesley Saïd,fr FRA,10.1,325,3,21,151,156,41,325,19,9,47.4,10,52.6,185,884,419,16,10,8,18,9,239,53
Juma Bah,sl SLE,7.6,480,81,270,199,12,6,480,3,3,100.0,0,0.0,265,987,345,3,2,0,4,3,279,1
Jhoanner Chávez,ec ECU,6.6,373,21,107,145,125,15,373,6,3,50.0,3,50.0,179,853,403,14,6,3,11,8,208,36
Nampalys Mendy,sn SEN,6.5,357,11,77,222,58,3,357,4,1,25.0,3,75.0,204,808,338,2,5,0,7,9,245,3
Rémy Labeau Lascary,gp GLP,7.1,275,3,37,92,151,31,275,26,12,46.2,13,50.0,162,900,355,17,7,9,32,7,198,71
Hervé Koffi,bf BFA,5.0,151,125,149,2,0,0,151,0,0,,0,,105,457,280,0,0,0,0,0,77,0
David Costa,pt POR,3.9,200,1,17,86,100,15,200,9,2,22.2,7,77.8,118,810,500,14,12,4,11,5,158,20
Tom Pouilly,fr FRA,3.0,257,6,66,114,79,9,257,3,2,66.7,0,0.0,152,688,326,12,6,3,7,0,171,34
Kyllian Antonio,fr FRA,1.5,114,2,47,54,13,1,114,2,1,50.0,0,0.0,82,322,132,1,0,1,2,2,85,0
Hamzat Ojediran,ng NGA,4.6,343,11,77,199,70,7,343,11,6,54.5,4,36.4,151,721,261,4,8,0,6,0,172,2
Jeremy Agbonifo,se SWE,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36
Martin Satriano,uy URU,1.0,52,1,10,16,26,11,52,2,1,50.0,1,50.0,24,127,41,2,2,1,5,2,35,14
Rayan Fofana,fr FRA,0.3,14,0,3,7,5,0,14,1,0,0.0,1,100.0,7,36,3,0,0,0,1,0,6,2
Gabin Capuano,fr FRA,0.1,4,0,0,2,2,0,4,0,0,,0,,3,21,1,0,0,0,1,0,4,1
Kembo Diliwidi,fr FRA,0.0,4,0,0,1,3,1,4,1,0,0.0,1,100.0,1,3,0,0,0,0,0,0,1,0
